step,seen_tokens,time_delta_s,run_name,lr_mult,train_loss,val_loss
8750,559991250,17.708428859710693,mem64_147M_1024_b64k_s30k,1.0,0.953828125,
8800,563191200,17.717788696289062,mem64_147M_1024_b64k_s30k,1.0,0.94546875,
8850,566391150,17.712491035461426,mem64_147M_1024_b64k_s30k,1.0,0.958984375,
8900,569591100,17.704381227493286,mem64_147M_1024_b64k_s30k,1.0,0.94265625,
8950,572791050,17.682485342025757,mem64_147M_1024_b64k_s30k,1.0,0.95765625,
9000,575991000,14.49515676498413,mem64_147M_1024_b64k_s30k,1.0,,0.9341015625
9000,575991000,32.43073916435242,mem64_147M_1024_b64k_s30k,1.0,0.948203125,
9050,579190950,17.690451622009277,mem64_147M_1024_b64k_s30k,1.0,0.942734375,
9100,582390900,17.718798637390137,mem64_147M_1024_b64k_s30k,1.0,0.945546875,
9150,585590850,17.697695016860962,mem64_147M_1024_b64k_s30k,1.0,0.95296875,
9200,588790800,17.672282695770264,mem64_147M_1024_b64k_s30k,1.0,0.943359375,
9250,591990750,17.71367573738098,mem64_147M_1024_b64k_s30k,1.0,0.94203125,
9300,595190700,17.69943881034851,mem64_147M_1024_b64k_s30k,1.0,0.95,
9350,598390650,17.712846994400024,mem64_147M_1024_b64k_s30k,1.0,0.94078125,
9400,601590600,17.692052364349365,mem64_147M_1024_b64k_s30k,1.0,0.93953125,
9450,604790550,17.70018744468689,mem64_147M_1024_b64k_s30k,1.0,0.94765625,
9500,607990500,14.490174531936646,mem64_147M_1024_b64k_s30k,1.0,,0.935078125
9500,607990500,32.43242335319519,mem64_147M_1024_b64k_s30k,1.0,0.934921875,
9550,611190450,17.67026114463806,mem64_147M_1024_b64k_s30k,1.0,0.948203125,
9600,614390400,17.714306831359863,mem64_147M_1024_b64k_s30k,1.0,0.93484375,
9650,617590350,17.695977687835693,mem64_147M_1024_b64k_s30k,1.0,0.932578125,
9700,620790300,17.7106351852417,mem64_147M_1024_b64k_s30k,1.0,0.939921875,
9750,623990250,17.713467597961426,mem64_147M_1024_b64k_s30k,1.0,0.9296875,
9800,627190200,17.689701795578003,mem64_147M_1024_b64k_s30k,1.0,0.9390625,
9850,630390150,17.698349714279175,mem64_147M_1024_b64k_s30k,1.0,0.933515625,
9900,633590100,17.721760034561157,mem64_147M_1024_b64k_s30k,1.0,0.952890625,
9950,636790050,17.695606470108032,mem64_147M_1024_b64k_s30k,1.0,0.93765625,
10000,639990000,14.530915260314941,mem64_147M_1024_b64k_s30k,1.0,,0.9340234375
10000,639990000,33.89061403274536,mem64_147M_1024_b64k_s30k,1.0,0.941640625,
10050,643189950,17.69756817817688,mem64_147M_1024_b64k_s30k,1.0,0.931796875,
10100,646389900,17.703431367874146,mem64_147M_1024_b64k_s30k,1.0,0.940625,
10150,649589850,17.705053329467773,mem64_147M_1024_b64k_s30k,1.0,0.93921875,
10200,652789800,17.68911600112915,mem64_147M_1024_b64k_s30k,1.0,0.9378125,
10250,655989750,17.702739000320435,mem64_147M_1024_b64k_s30k,1.0,0.94609375,
10300,659189700,17.702847719192505,mem64_147M_1024_b64k_s30k,1.0,0.938828125,
10350,662389650,17.70540475845337,mem64_147M_1024_b64k_s30k,1.0,0.935078125,
10400,665589600,17.704946994781494,mem64_147M_1024_b64k_s30k,1.0,0.928046875,
10450,668789550,17.73152780532837,mem64_147M_1024_b64k_s30k,1.0,0.935625,
10500,671989500,15.59333348274231,mem64_147M_1024_b64k_s30k,1.0,,0.928359375
10500,671989500,33.523778200149536,mem64_147M_1024_b64k_s30k,1.0,0.951328125,
10550,675189450,17.725889682769775,mem64_147M_1024_b64k_s30k,1.0,0.9371875,
10600,678389400,17.70890188217163,mem64_147M_1024_b64k_s30k,1.0,0.944140625,
10650,681589350,17.677958488464355,mem64_147M_1024_b64k_s30k,1.0,0.936875,
10700,684789300,17.70619773864746,mem64_147M_1024_b64k_s30k,1.0,0.93671875,
10750,687989250,17.68242335319519,mem64_147M_1024_b64k_s30k,1.0,0.940078125,
10800,691189200,17.69752812385559,mem64_147M_1024_b64k_s30k,1.0,0.9334375,
10850,694389150,17.74230456352234,mem64_147M_1024_b64k_s30k,1.0,0.94015625,
10900,697589100,17.709946870803833,mem64_147M_1024_b64k_s30k,1.0,0.94734375,
10950,700789050,17.71701169013977,mem64_147M_1024_b64k_s30k,1.0,0.9290625,
11000,703989000,14.544036388397217,mem64_147M_1024_b64k_s30k,1.0,,0.924765625
11000,703989000,32.48579287528992,mem64_147M_1024_b64k_s30k,1.0,0.922578125,
11050,707188950,17.697883367538452,mem64_147M_1024_b64k_s30k,1.0,0.926484375,
11100,710388900,17.69861388206482,mem64_147M_1024_b64k_s30k,1.0,0.94375,
11150,713588850,19.95292019844055,mem64_147M_1024_b64k_s30k,1.0,0.933125,
11200,716788800,17.688642740249634,mem64_147M_1024_b64k_s30k,1.0,0.940546875,
11250,719988750,17.662621021270752,mem64_147M_1024_b64k_s30k,1.0,0.95578125,
11300,723188700,17.7100932598114,mem64_147M_1024_b64k_s30k,1.0,0.926640625,
11350,726388650,17.711100816726685,mem64_147M_1024_b64k_s30k,1.0,0.9240625,
11400,729588600,17.711180448532104,mem64_147M_1024_b64k_s30k,1.0,0.93109375,
11450,732788550,17.720420598983765,mem64_147M_1024_b64k_s30k,1.0,0.944296875,
11500,735988500,14.527086734771729,mem64_147M_1024_b64k_s30k,1.0,,0.9119921875
11500,735988500,32.452537298202515,mem64_147M_1024_b64k_s30k,1.0,0.925,
11550,739188450,17.715431451797485,mem64_147M_1024_b64k_s30k,1.0,0.914140625,
11600,742388400,17.703636646270752,mem64_147M_1024_b64k_s30k,1.0,0.923984375,
11650,745588350,17.703709602355957,mem64_147M_1024_b64k_s30k,1.0,0.935078125,
11700,748788300,17.69670581817627,mem64_147M_1024_b64k_s30k,1.0,0.918671875,
11750,751988250,17.702808380126953,mem64_147M_1024_b64k_s30k,1.0,0.930390625,
11800,755188200,17.702059507369995,mem64_147M_1024_b64k_s30k,1.0,0.925859375,
11850,758388150,17.712352991104126,mem64_147M_1024_b64k_s30k,1.0,0.916796875,
11900,761588100,17.705198764801025,mem64_147M_1024_b64k_s30k,1.0,0.921484375,
11950,764788050,17.70308804512024,mem64_147M_1024_b64k_s30k,1.0,0.9184375,
12000,767988000,14.528523921966553,mem64_147M_1024_b64k_s30k,1.0,,0.913203125
12000,767988000,32.462278604507446,mem64_147M_1024_b64k_s30k,1.0,0.92640625,
12050,771187950,17.70331335067749,mem64_147M_1024_b64k_s30k,1.0,0.925703125,
12100,774387900,17.71519684791565,mem64_147M_1024_b64k_s30k,1.0,0.928515625,
12150,777587850,17.685588121414185,mem64_147M_1024_b64k_s30k,1.0,0.924296875,
12200,780787800,17.71920108795166,mem64_147M_1024_b64k_s30k,1.0,0.92484375,
12250,783987750,17.717445611953735,mem64_147M_1024_b64k_s30k,1.0,0.919921875,
12300,787187700,17.696961641311646,mem64_147M_1024_b64k_s30k,1.0,0.916796875,
12350,790387650,17.682857751846313,mem64_147M_1024_b64k_s30k,1.0,0.925859375,
12400,793587600,17.708072900772095,mem64_147M_1024_b64k_s30k,1.0,0.926640625,
12450,796787550,17.70473003387451,mem64_147M_1024_b64k_s30k,1.0,0.917734375,
12500,799987500,14.479936599731445,mem64_147M_1024_b64k_s30k,1.0,,0.923125
12500,799987500,32.41376566886902,mem64_147M_1024_b64k_s30k,1.0,0.92625,
12550,803187450,17.73947525024414,mem64_147M_1024_b64k_s30k,1.0,0.91515625,
12600,806387400,17.706239938735962,mem64_147M_1024_b64k_s30k,1.0,0.9246875,
12650,809587350,17.690301179885864,mem64_147M_1024_b64k_s30k,1.0,0.92203125,
12700,812787300,17.680301904678345,mem64_147M_1024_b64k_s30k,1.0,0.9053125,
12750,815987250,17.68689799308777,mem64_147M_1024_b64k_s30k,1.0,0.920234375,
12800,819187200,17.712103366851807,mem64_147M_1024_b64k_s30k,1.0,0.919296875,
12850,822387150,17.68910789489746,mem64_147M_1024_b64k_s30k,1.0,0.908515625,
12900,825587100,18.901127815246582,mem64_147M_1024_b64k_s30k,1.0,0.915390625,
12950,828787050,17.681254386901855,mem64_147M_1024_b64k_s30k,1.0,0.915859375,
13000,831987000,14.508748531341553,mem64_147M_1024_b64k_s30k,1.0,,0.9132421875
13000,831987000,32.419302463531494,mem64_147M_1024_b64k_s30k,1.0,0.9159375,
13050,835186950,17.69653058052063,mem64_147M_1024_b64k_s30k,1.0,0.90765625,
13100,838386900,17.72497797012329,mem64_147M_1024_b64k_s30k,1.0,0.915703125,
13150,841586850,17.68910551071167,mem64_147M_1024_b64k_s30k,1.0,0.918125,
13200,844786800,17.693857431411743,mem64_147M_1024_b64k_s30k,1.0,0.9053125,
13250,847986750,17.70191717147827,mem64_147M_1024_b64k_s30k,1.0,0.911328125,
13300,851186700,17.720142126083374,mem64_147M_1024_b64k_s30k,1.0,0.92609375,
13350,854386650,17.724765062332153,mem64_147M_1024_b64k_s30k,1.0,0.92234375,
13400,857586600,17.692201614379883,mem64_147M_1024_b64k_s30k,1.0,0.9178125,
13450,860786550,17.697306156158447,mem64_147M_1024_b64k_s30k,1.0,0.9003125,
13500,863986500,14.532340288162231,mem64_147M_1024_b64k_s30k,1.0,,0.909140625
13500,863986500,32.48740291595459,mem64_147M_1024_b64k_s30k,1.0,0.921328125,
13550,867186450,17.688679695129395,mem64_147M_1024_b64k_s30k,1.0,0.908125,
13600,870386400,17.73027801513672,mem64_147M_1024_b64k_s30k,1.0,0.91859375,
13650,873586350,17.699424505233765,mem64_147M_1024_b64k_s30k,1.0,0.921171875,
13700,876786300,17.68303680419922,mem64_147M_1024_b64k_s30k,1.0,0.911328125,
13750,879986250,17.724371671676636,mem64_147M_1024_b64k_s30k,1.0,0.909609375,
13800,883186200,17.710121154785156,mem64_147M_1024_b64k_s30k,1.0,0.915078125,
13850,886386150,17.722090482711792,mem64_147M_1024_b64k_s30k,1.0,0.907109375,
13900,889586100,17.698142290115356,mem64_147M_1024_b64k_s30k,1.0,0.905625,
