step,seen_tokens,time_delta_s,run_name,lr_mult,train_loss,val_loss
4650,297595350,22.011277437210083,mem32_147M_2048_b64k_s30k,1.0,1.006640625,
4700,300795300,20.857764720916748,mem32_147M_2048_b64k_s30k,1.0,1.005234375,
4750,303995250,20.979827642440796,mem32_147M_2048_b64k_s30k,1.0,0.996796875,
4800,307195200,21.00892472267151,mem32_147M_2048_b64k_s30k,1.0,0.99078125,
4850,310395150,20.911176681518555,mem32_147M_2048_b64k_s30k,1.0,0.990078125,
4900,313595100,20.876514434814453,mem32_147M_2048_b64k_s30k,1.0,0.987578125,
4950,316795050,20.985999584197998,mem32_147M_2048_b64k_s30k,1.0,0.993203125,
5000,319995000,16.31186580657959,mem32_147M_2048_b64k_s30k,1.0,,0.9784375
5000,319995000,38.86192297935486,mem32_147M_2048_b64k_s30k,1.0,0.98703125,
5050,323194950,20.874085187911987,mem32_147M_2048_b64k_s30k,1.0,0.991484375,
5100,326394900,20.857028484344482,mem32_147M_2048_b64k_s30k,1.0,0.98609375,
5150,329594850,20.848779916763306,mem32_147M_2048_b64k_s30k,1.0,0.980234375,
5200,332794800,20.92401695251465,mem32_147M_2048_b64k_s30k,1.0,0.98203125,
5250,335994750,20.868871212005615,mem32_147M_2048_b64k_s30k,1.0,0.980546875,
5300,339194700,20.985997676849365,mem32_147M_2048_b64k_s30k,1.0,0.9821875,
5350,342394650,20.957311391830444,mem32_147M_2048_b64k_s30k,1.0,0.988046875,
5400,345594600,20.99870491027832,mem32_147M_2048_b64k_s30k,1.0,0.982109375,
5450,348794550,20.969366788864136,mem32_147M_2048_b64k_s30k,1.0,0.986953125,
5500,351994500,16.313392162322998,mem32_147M_2048_b64k_s30k,1.0,,0.966484375
5500,351994500,37.397348403930664,mem32_147M_2048_b64k_s30k,1.0,0.976171875,
5550,355194450,20.887158155441284,mem32_147M_2048_b64k_s30k,1.0,0.98125,
5600,358394400,20.948750972747803,mem32_147M_2048_b64k_s30k,1.0,0.972890625,
5650,361594350,20.929696798324585,mem32_147M_2048_b64k_s30k,1.0,0.9821875,
5700,364794300,20.874377965927124,mem32_147M_2048_b64k_s30k,1.0,0.9740625,
5750,367994250,20.94803524017334,mem32_147M_2048_b64k_s30k,1.0,0.98390625,
5800,371194200,20.932321071624756,mem32_147M_2048_b64k_s30k,1.0,0.97359375,
5850,374394150,20.921833276748657,mem32_147M_2048_b64k_s30k,1.0,0.983046875,
