step,seen_tokens,time_delta_s,run_name,local_window,global_window,mem_freq,lr_mult,train_loss,val_loss,train_perplexity,val_perplexity,grad_norm
1826,91298174,0.9609012603759766,smollm-135M-50k/baseline,8192,50000,1000000,0.9135,2.720383405685425,,15.18614387512207,,0.34375
1827,91348173,0.9806745052337646,smollm-135M-50k/baseline,8192,50000,1000000,0.914,2.8650898933410645,,17.550630569458008,,0.357421875
1828,91398172,0.9701218605041504,smollm-135M-50k/baseline,8192,50000,1000000,0.9145,2.8452742099761963,,17.206275939941406,,0.3359375
1829,91448171,1.0522916316986084,smollm-135M-50k/baseline,8192,50000,1000000,0.915,3.008148193359375,,20.249866485595703,,0.34765625
1830,91498170,1.0388529300689697,smollm-135M-50k/baseline,8192,50000,1000000,0.9155,3.0254390239715576,,20.60304832458496,,0.349609375
1831,91548169,0.9539194107055664,smollm-135M-50k/baseline,8192,50000,1000000,0.916,2.8936519622802734,,18.059141159057617,,0.328125
1832,91598168,0.966937780380249,smollm-135M-50k/baseline,8192,50000,1000000,0.9165,2.87591290473938,,17.741613388061523,,0.330078125
1833,91648167,1.1148364543914795,smollm-135M-50k/baseline,8192,50000,1000000,0.917,2.601793050765991,,13.487900733947754,,0.8125
1834,91698166,1.067129373550415,smollm-135M-50k/baseline,8192,50000,1000000,0.9175,2.5296075344085693,,12.548580169677734,,1.9921875
1835,91748165,0.9994111061096191,smollm-135M-50k/baseline,8192,50000,1000000,0.918,2.6859328746795654,,14.671881675720215,,0.333984375
1836,91798164,0.9980823993682861,smollm-135M-50k/baseline,8192,50000,1000000,0.9185,2.7242331504821777,,15.244719505310059,,0.361328125
1837,91848163,1.0817251205444336,smollm-135M-50k/baseline,8192,50000,1000000,0.919,2.671901226043701,,14.467449188232422,,0.419921875
1838,91898162,1.064037799835205,smollm-135M-50k/baseline,8192,50000,1000000,0.9195,2.752056360244751,,15.67483139038086,,0.37890625
1839,91948161,1.0132555961608887,smollm-135M-50k/baseline,8192,50000,1000000,0.92,2.918337821960449,,18.510494232177734,,0.337890625
1840,91998160,0.9650251865386963,smollm-135M-50k/baseline,8192,50000,1000000,0.9205,2.82991099357605,,16.943952560424805,,0.35546875
1841,92048159,0.9981589317321777,smollm-135M-50k/baseline,8192,50000,1000000,0.921,2.688601016998291,,14.711080551147461,,0.373046875
1842,92098158,1.0140225887298584,smollm-135M-50k/baseline,8192,50000,1000000,0.9215,2.7594289779663086,,15.790823936462402,,0.41015625
1843,92148157,0.9566361904144287,smollm-135M-50k/baseline,8192,50000,1000000,0.922,2.866736650466919,,17.57955551147461,,0.365234375
1844,92198156,1.0209136009216309,smollm-135M-50k/baseline,8192,50000,1000000,0.9225,2.772101402282715,,15.992204666137695,,0.369140625
1845,92248155,1.014042615890503,smollm-135M-50k/baseline,8192,50000,1000000,0.923,2.5906054973602295,,13.337844848632812,,0.337890625
1846,92298154,0.9636623859405518,smollm-135M-50k/baseline,8192,50000,1000000,0.9235,2.6767148971557617,,14.53725814819336,,0.35546875
1847,92348153,0.9764201641082764,smollm-135M-50k/baseline,8192,50000,1000000,0.924,2.8833911418914795,,17.874786376953125,,0.369140625
1848,92398152,0.9622900485992432,smollm-135M-50k/baseline,8192,50000,1000000,0.9245,2.916341543197632,,18.47357940673828,,0.33984375
1849,92448151,0.9412727355957031,smollm-135M-50k/baseline,8192,50000,1000000,0.925,2.867767333984375,,17.597684860229492,,0.353515625
1850,92498150,3.725748300552368,smollm-135M-50k/baseline,8192,50000,1000000,0.9255,,2.803125,,16.49611473083496,
