step,seen_tokens,time_delta_s,run_name,local_window,global_window,mem_freq,lr_mult,train_loss,val_loss,train_perplexity,val_perplexity
22,1099978,0.9724712371826172,smollm/baseline,8192,8192,128,0.023,2.896677017211914,,18.113853454589844,
23,1149977,0.9563190937042236,smollm/baseline,8192,8192,128,0.024,3.0309202671051025,,20.71628761291504,
24,1199976,0.8991177082061768,smollm/baseline,8192,8192,128,0.025,3.0480504035949707,,21.07421875,
25,1249975,0.9802889823913574,smollm/baseline,8192,8192,128,0.026,2.8946359157562256,,18.076919555664062,
26,1299974,1.0221078395843506,smollm/baseline,8192,8192,128,0.027,2.7842776775360107,,16.188119888305664,
27,1349973,0.898566722869873,smollm/baseline,8192,8192,128,0.028,2.8263111114501953,,16.883066177368164,
28,1399972,0.9395942687988281,smollm/baseline,8192,8192,128,0.029,2.996514081954956,,20.015642166137695,
29,1449971,0.9273295402526855,smollm/baseline,8192,8192,128,0.03,2.927168130874634,,18.674671173095703,
30,1499970,0.9387185573577881,smollm/baseline,8192,8192,128,0.031,2.871122360229492,,17.656824111938477,
31,1549969,0.9445326328277588,smollm/baseline,8192,8192,128,0.032,2.8166534900665283,,16.720800399780273,
32,1599968,0.9544191360473633,smollm/baseline,8192,8192,128,0.033,2.584773063659668,,13.260279655456543,
33,1649967,1.0729598999023438,smollm/baseline,8192,8192,128,0.034,2.603135585784912,,13.506020545959473,
34,1699966,1.0845904350280762,smollm/baseline,8192,8192,128,0.035,2.823683738708496,,16.83876609802246,
35,1749965,0.9149279594421387,smollm/baseline,8192,8192,128,0.036,2.802074432373047,,16.478796005249023,
36,1799964,0.9065098762512207,smollm/baseline,8192,8192,128,0.037,2.8126931190490723,,16.65471076965332,
37,1849963,0.8876266479492188,smollm/baseline,8192,8192,128,0.038,2.9640371799468994,,19.376039505004883,
38,1899962,0.9463682174682617,smollm/baseline,8192,8192,128,0.039,2.8810853958129883,,17.833620071411133,
39,1949961,0.9147851467132568,smollm/baseline,8192,8192,128,0.04,2.7333784103393555,,15.384775161743164,
40,1999960,0.9179377555847168,smollm/baseline,8192,8192,128,0.041,2.6993443965911865,,14.869979858398438,
41,2049959,0.9285421371459961,smollm/baseline,8192,8192,128,0.042,2.7960662841796875,,16.380084991455078,
42,2099958,0.9637670516967773,smollm/baseline,8192,8192,128,0.043,2.970076560974121,,19.493412017822266,
43,2149957,0.9820129871368408,smollm/baseline,8192,8192,128,0.044,3.0827860832214355,,21.819107055664062,
44,2199956,0.9025008678436279,smollm/baseline,8192,8192,128,0.045,2.926008462905884,,18.653026580810547,
45,2249955,0.9401323795318604,smollm/baseline,8192,8192,128,0.046,2.87109637260437,,17.6563663482666,
46,2299954,0.9398930072784424,smollm/baseline,8192,8192,128,0.047,2.93102765083313,,18.746885299682617,
47,2349953,0.899038553237915,smollm/baseline,8192,8192,128,0.048,2.8738818168640137,,17.70561408996582,
48,2399952,0.9051976203918457,smollm/baseline,8192,8192,128,0.049,2.820378065109253,,16.78319549560547,
49,2449951,0.8919639587402344,smollm/baseline,8192,8192,128,0.05,2.794410228729248,,16.352981567382812,
50,2499950,47.200597524642944,smollm/baseline,8192,8192,128,0.051,,2.88125,,17.8365535736084
50,2499950,48.244234561920166,smollm/baseline,8192,8192,128,0.051,2.8239903450012207,,16.843929290771484,
51,2549949,1.1891307830810547,smollm/baseline,8192,8192,128,0.052,2.956550359725952,,19.231515884399414,
52,2599948,0.9853672981262207,smollm/baseline,8192,8192,128,0.053,2.9661953449249268,,19.41790008544922,
53,2649947,1.0783617496490479,smollm/baseline,8192,8192,128,0.054,2.9017326831817627,,18.20566177368164,
54,2699946,1.0812232494354248,smollm/baseline,8192,8192,128,0.055,2.9275286197662354,,18.68140411376953,
55,2749945,1.051543951034546,smollm/baseline,8192,8192,128,0.056,2.820887327194214,,16.791744232177734,
56,2799944,0.9629004001617432,smollm/baseline,8192,8192,128,0.057,2.7758126258850098,,16.051666259765625,
57,2849943,0.9761667251586914,smollm/baseline,8192,8192,128,0.058,2.8317935466766357,,16.975879669189453,
58,2899942,0.9583132266998291,smollm/baseline,8192,8192,128,0.059,2.8564658164978027,,17.39992332458496,
